upstream_length,downstream_length,mse,r2
56,25,1.0599128027321736,0.553781434325458
7,25,1.0599128027321736,0.553781434325458
37,25,1.0599128027321736,0.553781434325458
30,25,1.0599128027321736,0.553781434325458
32,25,1.0599128027321736,0.553781434325458
58,25,1.0599128027321736,0.553781434325458
17,25,1.0599128027321736,0.553781434325458
4,25,1.0599128027321736,0.553781434325458
35,25,1.0599128027321736,0.553781434325458
3,25,1.0599128027321736,0.553781434325458
14,25,1.0599128027321736,0.553781434325458
48,25,1.0599128027321736,0.553781434325458
16,25,1.0599128027321736,0.553781434325458
2,25,1.0599128027321736,0.553781434325458
31,25,1.0599128027321736,0.553781434325458
18,25,1.0599128027321736,0.553781434325458
34,25,1.0599128027321736,0.553781434325458
53,25,1.0599128027321736,0.553781434325458
52,25,1.0599128027321736,0.553781434325458
23,25,1.0599128027321736,0.553781434325458
59,25,1.0599128027321736,0.553781434325458
6,25,1.0599128027321736,0.553781434325458
43,25,1.0599128027321736,0.553781434325458
27,25,1.0599128027321736,0.553781434325458
8,25,1.0599128027321736,0.553781434325458
21,25,1.0599128027321736,0.553781434325458
5,25,1.0599128027321736,0.553781434325458
26,25,1.0599128027321736,0.553781434325458
11,25,1.0599128027321736,0.553781434325458
19,25,1.0599128027321736,0.553781434325458
24,25,1.0599128027321736,0.553781434325458
46,25,1.0599128027321736,0.553781434325458
41,25,1.0599128027321736,0.553781434325458
1,25,1.0599128027321736,0.553781434325458
51,25,1.0599128027321736,0.553781434325458
54,25,1.0599128027321736,0.553781434325458
20,25,1.0599128027321736,0.553781434325458
25,25,1.0599128027321736,0.553781434325458
40,25,1.0599128027321736,0.553781434325458
12,25,1.0599128027321736,0.553781434325458
39,25,1.0599128027321736,0.553781434325458
55,25,1.0599128027321736,0.553781434325458
42,25,1.0599128027321736,0.553781434325458
22,25,1.0599128027321736,0.553781434325458
47,25,1.0599128027321736,0.553781434325458
45,25,1.0599128027321736,0.553781434325458
0,25,1.0599128027321736,0.553781434325458
10,25,1.0599128027321736,0.553781434325458
38,25,1.0599128027321736,0.553781434325458
44,25,1.0599128027321736,0.553781434325458
57,20,1.0581883297523818,0.5545074297635767
79,27,1.0581676218968563,0.5545161476784533
62,24,1.0553732613796039,0.5556925610011075
78,20,1.055304249396212,0.5557216147385132
35,50,1.054829126975742,0.5559216391598009
49,50,1.054829126975742,0.5559216391598009
20,50,1.054829126975742,0.5559216391598009
34,50,1.054829126975742,0.5559216391598009
28,50,1.054829126975742,0.5559216391598009
10,50,1.054829126975742,0.5559216391598009
22,50,1.054829126975742,0.5559216391598009
44,50,1.054829126975742,0.5559216391598009
60,50,1.054829126975742,0.5559216391598009
11,50,1.054829126975742,0.5559216391598009
15,50,1.054829126975742,0.5559216391598009
13,50,1.054829126975742,0.5559216391598009
40,50,1.054829126975742,0.5559216391598009
46,50,1.054829126975742,0.5559216391598009
1,50,1.054829126975742,0.5559216391598009
19,50,1.054829126975742,0.5559216391598009
62,50,1.054829126975742,0.5559216391598009
25,50,1.054829126975742,0.5559216391598009
51,50,1.054829126975742,0.5559216391598009
31,50,1.054829126975742,0.5559216391598009
17,50,1.054829126975742,0.5559216391598009
54,50,1.054829126975742,0.5559216391598009
39,50,1.054829126975742,0.5559216391598009
64,50,1.054829126975742,0.5559216391598009
41,50,1.054829126975742,0.5559216391598009
24,50,1.054829126975742,0.5559216391598009
33,50,1.054829126975742,0.5559216391598009
16,50,1.054829126975742,0.5559216391598009
53,50,1.054829126975742,0.5559216391598009
43,50,1.054829126975742,0.5559216391598009
61,50,1.054829126975742,0.5559216391598009
0,50,1.054829126975742,0.5559216391598009
